Island,TotalSR,SoAmSR,EndemicTaxa,EndemicTaxaPCT,AreaKM2,Altitude,Elevation,DistFromParamo,DistNearIsVeg,DistNearIsSouth,DistNearLargeIS
Ecuador,65,57,1,1.5,3487,3500,2397,1,1,1,1
Chiles,36,31,1,2.7,326,3500,1264,36,14,36,36
Las Papas-Coconuco,30,25,1,3.3,501,3500,1170,234,13,26,26
Sumapaz,37,32,3,8.1,2031,3500,1060,543,83,80,116
Tolima-Quindio,35,33,9,25.7,989,3500,1900,551,23,25,25
Paramillo,11,10,1,9,25,3500,460,773,45,45,186
Cocuy,21,18,1,4.7,2168,3500,1998,801,14,108,14
Pamplona,11,9,1,9,217,3500,700,950,14,14,14
Cachira,13,12,0,0,143,3250,735,958,5,19,19
Tama,17,14,0,0,46,3000,613,995,29,29,29
Batallion,13,10,0,0,66,3250,662,1065,55,65,55
Merida,29,26,6,20.6,1798,3500,1502,1167,35,55,204
Perija,4,4,2,50,167,3000,750,1182,75,197,75
Santa Marta,18,16,12,66.6,606,3500,2275,1238,75,75,330
Cende,15,13,0,0,70,3000,552,1380,35,35,35
